
allStatisticsMatrix: Wins; Draws; Losses; Points; Goals scored; Goals agains
8	13	4	2	2	3	9	6	5	15	9	13	9	7	18	16	12	2	10	16
2	0	1	0	2	2	1	2	0	1	2	1	1	2	0	1	1	1	2	0
9	6	14	17	15	14	9	11	14	3	8	5	9	10	1	2	6	16	7	3
26	39	13	6	8	11	28	20	15	46	29	40	28	23	54	49	37	7	32	48
167	250	145	102	110	83	123	206	174	265	172	293	202	165	312	386	305	198	247	298
176	229	206	226	228	163	154	263	246	208	187	242	205	165	144	223	280	292	184	182

formations:
[3,3,1]	[3,2,2]	[4,2,1]	[5,1,1]	[5,0,2]	[5,2,0]	[4,3,0]	[4,1,2]	[4,0,3]	[3,1,2,1]	[3,2,1,1]	[3,0,3,1]	[2,4,1]	[2,5,0]	[1,2,3,1]	[1,2,2,2]	[1,1,1,1,1,1,1]	[4,0,1,0,1,1]	[2,2,0,3]	[1,5,1]

ResultMatrix:
0	13	2	3	7	3	3	9	6	15	12	16	5	7	14	14	12	9	6	20
7	0	6	9	13	0	5	7	6	19	10	24	17	11	22	11	20	12	17	13
6	11	0	5	1	4	11	10	9	13	21	12	9	8	6	18	29	16	9	8
9	18	13	0	11	1	7	7	2	16	2	18	11	14	18	18	14	6	24	17
11	18	6	10	0	9	2	19	5	7	1	19	20	7	21	22	4	15	24	8
3	1	0	3	12	0	9	2	11	17	9	19	4	0	15	4	22	11	11	10
2	17	7	6	1	4	0	5	7	15	11	12	10	1	2	1	24	16	5	8
8	12	6	2	6	4	8	0	10	20	13	27	14	16	21	22	31	15	10	18
7	11	4	1	4	7	8	15	0	25	16	11	17	11	18	18	30	20	18	5
10	11	8	4	2	6	9	16	8	0	4	13	13	11	25	35	1	8	8	16
3	17	6	1	1	7	1	13	10	7	0	14	13	13	16	18	24	0	6	17
9	16	6	2	4	3	15	9	3	13	9	0	14	16	29	48	6	8	11	21
9	3	11	8	1	1	5	5	8	15	6	17	0	1	26	15	25	6	17	26
9	1	8	9	1	0	2	5	8	16	16	21	0	0	5	18	3	10	13	20
3	10	1	4	4	2	1	9	9	5	5	6	3	0	0	49	1	5	15	12
6	17	17	7	9	2	1	15	12	11	4	10	8	13	20	0	21	8	31	11
32	18	14	18	0	12	15	19	21	6	17	5	25	1	4	28	0	13	6	26
11	21	20	5	15	14	12	19	22	18	2	23	11	21	20	11	15	0	9	23
6	21	7	1	12	1	2	10	15	13	7	13	4	7	16	16	8	6	0	19
16	14	3	4	6	3	7	12	2	14	7	13	4	7	14	20	15	14	7	0
